from,to,weight
8,70,0.5572
8,71,0.6162
8,72,0.6282
8,73,0.6298
8,74,0.5676
8,75,0.5076
8,77,0.5353
8,79,0.5669
8,81,0.5272
8,87,0.4975
8,88,0.4895
8,89,0.7196
8,90,0.555
8,91,0.593
8,92,0.4755
8,93,0.5335
8,94,0.5578
8,95,0.4505
8,96,0.7237
8,97,0.5275
8,98,0.4751
8,99,0.6274
8,100,0.7042
9,10,0.5187
9,11,0.6018
9,12,0.5601
9,13,0.5728
9,14,0.638
9,15,0.6561
9,16,0.5846
9,17,0.6487
9,19,0.5987
9,20,0.6134
9,21,0.5784
9,22,0.4809
9,24,0.6294
9,25,0.5788
9,26,0.5001
9,27,0.6665
9,28,0.5131
9,29,0.5796
9,30,0.517
9,31,0.4599
9,33,0.5614
9,34,0.5826
9,35,0.4833
9,36,0.5198
9,37,0.4941
9,38,0.6069
9,39,0.706
9,42,0.6257
9,44,0.5302
9,46,0.6569
9,48,0.6556
9,49,0.5819
9,50,0.5573
9,51,0.5693
9,52,0.5138
9,55,0.4531
9,57,0.4895
9,58,0.5569
9,59,0.5524
9,60,0.5893
9,61,0.634
9,62,0.4711
9,64,0.6082
9,65,0.5872
9,66,0.5605
9,67,0.552
9,69,0.5678
9,70,0.5248
9,71,0.5642
9,72,0.5933
9,73,0.6038
9,74,0.5563
9,77,0.5416
9,78,0.4848
9,87,0.5005
9,88,0.4698
9,89,0.6485
9,91,0.5951
9,93,0.5654
9,94,0.588
9,95,0.532
9,96,0.6744
9,97,0.5089
9,99,0.6063
9,100,0.6775
10,11,0.5536
10,12,0.5313
10,13,0.5923
10,14,0.597
10,15,0.4762
10,16,0.6102
10,17,0.6336
10,18,0.5047
10,19,0.4967
10,20,0.5345
10,21,0.6292
10,23,0.4604
10,24,0.5629
10,25,0.5937
10,26,0.5589
10,27,0.502
10,28,0.5541
10,29,0.5766
10,30,0.6078
10,31,0.5157
10,32,0.4775
10,33,0.5542
10,34,0.5721
10,35,0.4771
10,36,0.5916
10,37,0.4912
10,38,0.6223
10,39,0.4749
10,40,0.4905
10,42,0.5441
10,43,0.4518
10,45,0.4834
10,46,0.5643
10,48,0.6642
10,49,0.5453
10,56,0.4669
10,57,0.5564
10,58,0.5365
10,59,0.5853
10,60,0.6058
10,61,0.5268
10,62,0.4584
10,64,0.4907
10,65,0.6581
10,66,0.5423
10,67,0.5815
10,69,0.6032
10,71,0.6136
10,72,0.5805
10,73,0.5354
10,74,0.5196
10,76,0.4787
10,79,0.6047
10,80,0.5119
10,81,0.4532
10,88,0.4953
10,89,0.528
10,90,0.4666
10,91,0.6474
10,94,0.5537
10,95,0.4942
10,96,0.5816
10,97,0.4834
10,99,0.5118
10,100,0.607
11,12,0.5179
11,13,0.6592
11,14,0.5308
11,15,0.4564
11,17,0.5336
11,18,0.5406
11,19,0.5579
11,20,0.5624
11,21,0.4566
11,26,0.5098
11,27,0.5657
11,28,0.5488
11,30,0.4903
11,32,0.5467
11,33,0.481
11,35,0.5561
11,36,0.5498
11,38,0.5524
11,39,0.5288
11,42,0.5374
11,45,0.4782
11,46,0.5591
11,48,0.5592
11,52,0.4679
11,53,0.4649
11,57,0.4865
11,58,0.5666
11,61,0.6813
11,64,0.7032
11,65,0.5735
11,66,0.5368
11,68,0.5119
11,69,0.5801
11,72,0.5038
11,73,0.4773
11,74,0.4735
11,75,0.491
11,76,0.4502
11,79,0.5516
11,81,0.5049
11,84,0.4986
11,85,0.4672
11,88,0.4545
11,89,0.5955
11,91,0.4503
11,93,0.4569
11,94,0.5311
11,95,0.5211
11,96,0.587
11,97,0.4615
11,99,0.4569
11,100,0.4615
12,13,0.6125
12,14,0.5726
12,15,0.4584
12,16,0.5077
12,17,0.5927
12,18,0.5961
12,19,0.5205
12,20,0.56
12,22,0.454
12,23,0.4966
12,25,0.4688
12,26,0.5575
12,27,0.4606
12,28,0.4809
12,30,0.5084
12,31,0.582
12,32,0.5165
12,34,0.5774
12,35,0.6646
12,36,0.6404
12,37,0.5455
12,38,0.6108
12,39,0.5596
12,40,0.5257
12,41,0.5431
12,42,0.5395
12,45,0.6122
12,46,0.4956
12,48,0.5441
12,49,0.5879
12,50,0.489
12,57,0.499
12,58,0.6243
12,59,0.5543
12,60,0.6385
12,61,0.5676
12,62,0.5673
12,64,0.619
12,65,0.6767
12,66,0.5512
12,67,0.5207
12,68,0.5886
12,69,0.5059
12,70,0.4789
12,71,0.5488
12,72,0.6012
12,73,0.606
12,74,0.4884
12,75,0.495
12,76,0.5498
12,77,0.5415
12,79,0.6754
12,81,0.5678
12,89,0.5324
12,90,0.4926
12,91,0.5267
12,93,0.5103
12,94,0.5117
12,96,0.6382
12,97,0.5362
12,99,0.5782
12,100,0.5243
12,101,0.4687
12,102,0.4677
13,14,0.6002
13,15,0.5506
13,16,0.5663
13,17,0.7113
13,18,0.7518
13,19,0.5681
13,20,0.5753
13,21,0.5512
13,24,0.454
13,25,0.5079
13,26,0.663
13,27,0.5572
13,28,0.5244
13,29,0.4821
13,30,0.6751
13,31,0.5439
13,32,0.4763
13,33,0.5044
13,34,0.5142
13,35,0.7728
13,36,0.6372
13,38,0.5707
13,39,0.5093
13,40,0.4551
13,42,0.6501
13,43,0.492
13,45,0.5764
13,46,0.5379
13,47,0.4653
13,48,0.5314
13,49,0.6794
13,50,0.4944
13,51,0.4722
13,55,0.4634
13,56,0.5147
13,57,0.535
13,58,0.4995
13,59,0.4784
13,60,0.5866
13,61,0.5902
13,62,0.6177
13,64,0.5752
13,65,0.6273
13,66,0.5445
13,67,0.5774
13,68,0.5862
13,69,0.566
13,70,0.4923
13,71,0.6433
13,72,0.6659
13,73,0.5975
13,74,0.5848
13,75,0.5016
13,76,0.5721
13,79,0.5365
13,81,0.5258
13,82,0.4624
13,85,0.496
13,89,0.5448
13,91,0.5659
13,93,0.4852
13,94,0.5104
13,95,0.4754
13,96,0.6845
13,97,0.4523
13,98,0.4797
13,99,0.5937
13,100,0.5087
14,15,0.5416
14,16,0.5997
14,17,0.6922
14,18,0.5491
14,19,0.6311
14,20,0.6126
14,21,0.5964
14,22,0.5103
14,23,0.4674
14,24,0.6075
14,25,0.6474
14,26,0.6589
14,27,0.6002
14,28,0.5382
14,29,0.5855
14,30,0.5698
14,31,0.484
14,32,0.4953
14,33,0.6374
14,34,0.5741
14,35,0.6503
14,36,0.6272
14,37,0.5796
14,38,0.5085
14,39,0.5816
14,40,0.4961
14,41,0.5339
14,42,0.6937
14,43,0.5623
14,44,0.462
14,45,0.4902
14,46,0.6547
14,47,0.477
14,48,0.6396
14,49,0.5028
14,50,0.5586
14,51,0.478
14,52,0.4772
14,55,0.4785
14,56,0.5677
14,57,0.4848
14,58,0.6334
14,59,0.5453
14,60,0.6239
14,61,0.5097
14,62,0.4977
14,64,0.4917
14,65,0.6346
14,66,0.6096
14,67,0.5928
14,68,0.525
14,69,0.5102
14,70,0.6289
14,71,0.573
14,72,0.6367
14,73,0.6265
14,74,0.6415
14,75,0.5207
14,76,0.4642
14,77,0.4995
14,78,0.4774
14,79,0.5309
14,81,0.5524
14,84,0.524
14,85,0.5077
14,87,0.4817
14,88,0.4952
14,89,0.6619
14,90,0.4947
14,91,0.5727
14,92,0.4734
14,93,0.519
14,94,0.5247
14,95,0.4684
14,96,0.6608
14,97,0.5442
14,99,0.7195
14,100,0.6023
15,16,0.564
15,17,0.6301
15,18,0.4571
15,19,0.5033
15,20,0.5047
15,21,0.6466
15,24,0.5347
15,25,0.5621
15,27,0.5107
15,28,0.4511
15,29,0.4751
15,30,0.4698
15,33,0.5765
15,38,0.5083
15,39,0.5319
15,42,0.5621
15,43,0.6047
15,44,0.4936
15,46,0.5331
15,48,0.4992
15,49,0.5642
15,50,0.478
15,51,0.5784
15,52,0.498
15,55,0.4871
15,57,0.4505
15,58,0.5146
15,59,0.5105
15,60,0.5817
15,61,0.5809
15,62,0.4833
15,64,0.5434
15,66,0.4625
15,67,0.5042
15,69,0.4762
15,71,0.4927
15,72,0.5872
15,77,0.4905
15,78,0.489
15,81,0.4804
15,89,0.494
15,91,0.5196
15,95,0.4581
15,96,0.4909
15,99,0.5193
15,100,0.5775
16,17,0.7759
16,18,0.482
16,19,0.4887
16,20,0.51
16,21,0.6968
16,22,0.4914
16,24,0.7206
16,25,0.7413
16,26,0.5144
16,27,0.567
16,29,0.6899
16,30,0.5669
16,33,0.669
16,34,0.6549
16,35,0.5402
16,36,0.5475
16,38,0.5785
16,39,0.4622
16,40,0.5453
16,42,0.5973
16,43,0.4541
16,45,0.4677
16,46,0.5043
16,48,0.6742
16,49,0.5323
16,51,0.4991
16,58,0.5762
16,59,0.7409
16,60,0.6305
16,61,0.5327
16,62,0.4557
16,64,0.4794
16,65,0.714
16,66,0.485
16,67,0.7502
16,68,0.4619
16,69,0.5289
16,71,0.5368
16,72,0.6093
16,73,0.5472
16,79,0.4832
16,81,0.471
16,87,0.524
16,88,0.4739
16,89,0.5401
16,91,0.6839
16,94,0.5805
16,95,0.5302
16,96,0.5713
16,97,0.6135
16,99,0.5183
16,100,0.7665
17,18,0.5535
17,19,0.5142
17,20,0.5398
17,21,0.6538
17,24,0.6211
17,25,0.6712
17,26,0.58
17,27,0.5716
17,28,0.4509
17,29,0.5936
17,30,0.5913
17,31,0.4634
17,33,0.6368
17,34,0.6282
17,35,0.6286
17,36,0.5944
17,38,0.6114
17,39,0.5253
17,40,0.5252
17,42,0.6801
17,43,0.5271
17,45,0.544
17,46,0.5599
17,48,0.6348
17,49,0.5704
17,50,0.5052
17,51,0.5018
17,57,0.5121
17,58,0.6483
17,59,0.6443
17,60,0.6318
17,61,0.5753
17,62,0.538
17,64,0.5144
17,65,0.7001
17,66,0.4934
17,67,0.7333
17,68,0.4652
17,69,0.5248
17,71,0.6308
17,72,0.6448
17,73,0.6247
17,74,0.5514
17,79,0.5183
17,81,0.4642
17,87,0.4622
17,88,0.4617
17,89,0.5802
17,91,0.6454
17,93,0.4528
17,94,0.5687
17,95,0.5336
17,96,0.6788
17,97,0.5724
17,99,0.5977
17,100,0.6885
17,101,0.4631
18,19,0.5388
18,20,0.5507
18,21,0.4966
18,23,0.4888
18,26,0.7174
18,28,0.498
18,30,0.6201
18,31,0.6479
18,32,0.4883
18,33,0.4792
18,35,0.7672
18,36,0.688
18,38,0.471
18,39,0.4541
18,41,0.459
18,42,0.5701
18,43,0.504
18,45,0.5195
18,46,0.5292
18,49,0.6271
18,50,0.5326
18,52,0.457
18,56,0.5532
18,60,0.4669
18,61,0.5837
18,62,0.5707
18,64,0.5015
18,65,0.6217
18,66,0.5009
18,67,0.4928
18,68,0.6548
18,69,0.482
18,70,0.4813
18,71,0.5327
18,72,0.55
18,73,0.5257
18,74,0.4639
18,75,0.4729
18,76,0.4862
18,79,0.5943
18,81,0.5238
18,89,0.4747
18,93,0.4775
18,96,0.6106
18,98,0.4895
18,99,0.5732
18,100,0.488
19,20,0.7468
19,21,0.7021
19,22,0.5281
19,23,0.5883
19,24,0.5351
19,25,0.5556
19,26,0.6297
19,27,0.5488
19,28,0.6964
19,29,0.5275
19,30,0.5083
19,31,0.4727
19,33,0.6242
19,34,0.5501
19,35,0.5427
19,36,0.6089
19,37,0.5713
19,38,0.4632
19,39,0.6185
19,40,0.4933
19,41,0.6043
19,42,0.5348
19,43,0.6091
19,44,0.479
19,45,0.4624
19,46,0.5911
19,47,0.4606
19,48,0.6067
19,51,0.4646
19,52,0.4742
19,56,0.5426
19,58,0.4995
19,59,0.5818
19,60,0.6088
19,61,0.5245
19,62,0.5194
19,63,0.4549
19,64,0.5064
19,65,0.5489
19,66,0.5437
19,67,0.4642
19,68,0.5806
19,69,0.5246
19,70,0.5987
19,71,0.4786
19,72,0.5085
19,73,0.5195
19,75,0.6742
19,76,0.5185
19,77,0.5249
19,80,0.4521
19,81,0.5821
19,83,0.4742
19,84,0.5693
19,88,0.589
19,89,0.6259
19,90,0.5532
19,91,0.5203
19,92,0.4661
19,93,0.512
19,94,0.4811
19,95,0.4957
19,96,0.6258
19,97,0.4832
19,99,0.55
20,21,0.6486
20,22,0.4681
20,23,0.4892
20,24,0.4798
20,25,0.4951
20,26,0.6391
20,27,0.5969
20,28,0.5934
20,29,0.5105
20,30,0.578
20,31,0.4683
20,33,0.6391
20,34,0.5645
20,35,0.5958
20,36,0.609
20,37,0.5954
20,38,0.5268
20,39,0.6723
20,40,0.473
20,41,0.5563
20,42,0.5914
20,43,0.5881
20,45,0.5176
20,46,0.6665
20,48,0.6315
20,49,0.4745
20,50,0.4664
20,51,0.5494
20,52,0.5195
20,56,0.5128
20,58,0.4643
20,59,0.5417
20,60,0.641
20,61,0.5931
20,62,0.561
20,63,0.5133
20,64,0.5718
20,65,0.5803
20,66,0.5832
20,67,0.4522
20,68,0.5411
20,69,0.6286
20,70,0.5681
20,71,0.4876
20,72,0.5625
20,73,0.5705
20,74,0.4898
20,75,0.642
20,77,0.5714
20,78,0.4967
20,79,0.5405
20,80,0.4738
20,81,0.5456
20,84,0.5714
20,85,0.4615
20,88,0.5553
20,89,0.6885
20,90,0.5233
20,91,0.5031
20,92,0.4892
20,93,0.5337
20,95,0.4594
20,96,0.6995
20,97,0.518
20,99,0.5902
20,100,0.4972
21,22,0.5325
21,24,0.6666
21,25,0.7086
21,26,0.5076
21,27,0.5647
21,28,0.5414
21,29,0.6644
21,30,0.5481
21,33,0.7501
21,34,0.5739
21,35,0.4877
21,36,0.5724
21,37,0.5048
21,38,0.5289
21,39,0.5706
21,40,0.4649
21,42,0.5774
21,43,0.6486
21,45,0.4863
21,46,0.5431
21,48,0.6402
21,49,0.4923
21,50,0.4582
21,51,0.5078
21,52,0.4548
21,59,0.6942
21,60,0.664
21,61,0.4726
21,62,0.463
21,63,0.4689
21,64,0.4664
21,65,0.6242
21,66,0.5149
21,67,0.5915
21,68,0.4897
21,69,0.5067
21,70,0.4782
21,71,0.5491
21,72,0.5374
21,73,0.5403
21,75,0.5292
21,77,0.4669
21,81,0.5114
21,88,0.5643
21,89,0.5486
21,90,0.5159
21,91,0.6104
21,94,0.4971
21,95,0.5024
21,96,0.5755
21,97,0.5535
21,99,0.5193
21,100,0.5667
22,24,0.7243
22,25,0.6917
22,27,0.4656
22,29,0.6696
22,33,0.5034
22,35,0.4623
22,36,0.4788
22,37,0.4757
22,38,0.5027
22,39,0.4883
22,45,0.4693
22,46,0.5092
22,48,0.6161
22,59,0.5557
22,60,0.5728
22,61,0.4909
22,63,0.5081
22,66,0.5995
22,69,0.5119
22,70,0.5601
22,71,0.5035
22,73,0.4593
22,75,0.5273
22,77,0.5385
22,81,0.4908
22,89,0.5321
22,91,0.5851
22,95,0.5925
22,96,0.6054
22,97,0.4543
22,99,0.5239
22,100,0.4848
22,101,0.4527
23,26,0.5424
23,28,0.5626
23,36,0.5938
23,37,0.4913
23,38,0.4503
23,56,0.5058
23,57,0.4592
23,64,0.4663
23,68,0.4539
23,70,0.5298
23,76,0.6078
23,81,0.4746
23,90,0.4874
24,25,0.9013
24,26,0.4532
24,27,0.6053
24,29,0.8983
24,30,0.4518
24,33,0.6206
24,34,0.6349
24,36,0.4776
24,37,0.4726
24,38,0.5617
24,39,0.5195
24,40,0.5334
24,42,0.5262
24,46,0.5505
24,48,0.7365
24,51,0.5201
24,58,0.5269
24,59,0.7655
24,60,0.6716
24,61,0.5052
24,63,0.5039
24,65,0.5676
24,66,0.5281
24,67,0.6563
24,69,0.5548
24,70,0.5333
24,71,0.5684
24,72,0.4898
24,73,0.5466
24,74,0.4726
24,77,0.4696
24,85,0.4586
24,86,0.4541
24,87,0.5903
24,88,0.4966
24,89,0.6089
24,91,0.7028
24,94,0.5972
24,95,0.6462
24,96,0.6142
24,97,0.5092
24,99,0.5403
24,100,0.73
25,26,0.4723
25,27,0.4713
25,29,0.848
25,30,0.4822
25,33,0.6328
25,34,0.6265
25,36,0.5014
25,37,0.4838
25,38,0.5223
25,39,0.5027
25,40,0.5171
25,42,0.5333
25,43,0.4777
25,46,0.5708
25,48,0.6898
25,51,0.5086
25,58,0.5091
25,59,0.7576
25,60,0.7448
25,62,0.4502
25,63,0.4828
25,65,0.6057
25,66,0.5291
25,67,0.6761
25,69,0.4708
25,70,0.462
25,71,0.5839
25,72,0.5575
25,73,0.5142
